Org,London/UK Based,Remote Option,Salary Range,AI Safety Work,Good Fit for Titus,Notes
UK AI Security Institute,Yes - Central London,Hybrid (also Birmingham/Bristol/Edinburgh etc),£65k-£145k (Research Scientist),Yes - core mission,Excellent - RL/evals/control background,Government role; needs UK residency for security clearance; 28.97% pension contribution
Apollo Research,Yes - London,In-person preferred (rare exceptions),Not disclosed,Yes - evals/deception detection,Excellent - directly relevant to control evals work,Shares building with LISA; hiring Research Scientists and Evals Engineers
Google DeepMind,Yes - London HQ,Hybrid,£203k-£262k (Research Scientist),Yes - Alignment teams,Good - strong ML background needed,Very competitive; Scalable Alignment and Alignment teams
Anthropic,Yes - London office,Hybrid (25% in-office minimum),£225k-£340k,Yes - core mission,Excellent - Alignment Science team relevant,AI Safety Fellowship also available (£1300/week); visa sponsorship available
OpenAI,Yes - London,Hybrid (3 days/week in-office),Not disclosed UK,Yes - Safety/Integrity teams,Moderate - more security/ops focused roles in London,London roles more security/integrity focused than pure alignment research
GovAI,Yes - London (moved from Oxford),Remote possible,Not disclosed,Yes - AI governance research,Good - governance/policy focus,Research Fellows and Scholars programs; alumni go to major labs
Timaeus,Yes - London hub (also Berkeley/Melbourne),Encourages co-location,USD 70k-140k (location adjusted),Yes - SLT/interpretability,Good - theoretical math background helpful,Research on singular learning theory; developmental interpretability
Cooperative AI Foundation,Yes - registered in UK,Fully remote,Not disclosed,Yes - cooperative AI research,Moderate - multi-agent focus,PhD Fellowship ($40k top-up); Summer School near London
Center on Long-Term Risk,Yes - London office (also Berkeley),Remote-first,£4925/month (fellowship),Yes - s-risk focused,Moderate - different focus area,Summer Research Fellowship 8 weeks; 10-15% pension
Microsoft AI,Yes - London,Hybrid,Not disclosed UK,Yes - AI Safety Post-Training team,Good - LLM safety work,Member of Technical Staff positions in AI Safety
FAR AI,No - Berkeley HQ,Yes - fully remote in most countries,$100k-$190k (Research Engineer),Yes - core mission,Excellent - alignment research,Can hire remotely internationally; visa sponsorship for in-person
Epoch AI,No - distributed,Fully remote,~$100k-$180k,Moderate - forecasting/trends,Moderate - more economics focus,Currently no vacancies; research on AI trajectories
IAPS,No - DC based,Fully remote,Not disclosed,Yes - AI policy/governance,Moderate - policy focus,Fellowship program available; international hiring
METR,No - Berkeley,Prefer in-person (3-5 days/week),Competitive with top labs,Yes - capability evals,Excellent - directly relevant to control evals,Formerly ARC Evals; can sponsor H-1B for technical roles
Redwood Research,No - Berkeley,In-person only,Not disclosed,Yes - alignment research,Good - alignment focus,Apply via MATS for internships; Paul Christiano connection
Alignment Research Center,No - Berkeley,Visiting researcher positions,Not disclosed,Yes - theoretical alignment,Moderate - very theoretical (math/physics background),10-week visiting researcher typical; ELK/formal methods focus
CAIS,No - San Francisco,Some remote possible,Not disclosed,Yes - technical AI safety,Good - Trojans/robustness relevant,Research internships reopen for Fall 2026
Goodfire,No - San Francisco,In-person only (5 days/week),Not disclosed,Yes - interpretability,Good - mech interp focus,Fellowship program; US work authorization required
MIRI,No - Berkeley,Remote appears possible,Not disclosed,Moderate - policy/comms focus now,Low - less technical research now,Technical Governance Team separate; policy focus
RAND TASP,No - DC/SF/Pittsburgh,Hybrid or fully remote,Fellowship: $40k-$200k,Yes - AI policy/security,Moderate - policy focus,CAST Fellowship available; can be UK-based
CSET Georgetown,No - Washington DC,Not disclosed,Not disclosed,Yes - security/emerging tech,Moderate - policy/data focus,Data Research Analyst and research roles
UC Berkeley CHAI,No - Berkeley,Remote possible for some,~$64-71k (Assistant); $3.5-5k/month (intern),Yes - human-compatible AI,Good - alignment focus,Stuart Russell's center; Research Fellowship available
Oxford Martin AIGI,Yes - Oxford,Likely in-person,Not disclosed,Yes - AI governance,Good - governance focus,Short-term/sabbatical positions; near London
MILA,No - Montreal,Not disclosed,CAD 40/hr (Policy Fellowship),Moderate - varied research,Moderate - Krueger's lab relevant,AI Safety Studio launched 2025; David Krueger relevant
Transluce,No - San Francisco,Not disclosed,Not disclosed,Yes - transparency/oversight,Good - evaluation platforms,Works with Anthropic/DeepMind/METR; agent eval platform Docent
xAI,Yes - London (Piccadilly),Not disclosed,Not disclosed,Limited - trust/safety,Low - limited safety focus; controversial,New London office; safety team is content moderation focused
Meta FAIR,Yes - London office,Hybrid,Not disclosed,Limited - recent layoffs,Low - restructuring; not safety focused,October 2025 layoffs in FAIR division
Scale AI,No - San Francisco,Some remote,Not disclosed,Limited - data labeling,Low - not core AI safety,Freelance/contract opportunities; data-focused
Elicit,No - Oakland,Partial (1 week per 6 with team),Not disclosed,Low - research tools,Low - product company,Public benefit corporation; North America/Europe
AI Futures Project,Unknown,Unknown,Unknown,Unknown,Unknown,Could not find current information
Alignment of Complex Systems Research Group (ACS),Unknown,Unknown,Unknown,Yes - likely,Unknown,Academic group - limited info
America First Policy Institute,No - DC,Unknown,Unknown,Limited - policy,Low - different political focus,Think tank
Center for AI Policy,Unknown,Unknown,Unknown,Yes - policy,Moderate,Limited info
CAISI (NIST),No - US,Unknown,Unknown,Moderate - standards,Moderate - standards focus,US government
Center for Emerging Technology,Unknown,Unknown,Unknown,Unknown,Unknown,Multiple orgs with this name
Center for New American Security,No - DC,Unknown,Unknown,Moderate - security,Moderate,Think tank
Charles Uni ACS / CSU Alignment,No - Prague,Unknown,Unknown,Yes,Unknown,Academic
CSIS Wadhwani AI Center,No - DC,Unknown,Unknown,Moderate,Moderate,Think tank
Eleos,Unknown,Unknown,Unknown,Unknown,Unknown,Could not find
Future Matters,Unknown,Unknown,Unknown,Unknown,Unknown,Could not find
Horizon Fellowship,Unknown,Unknown,Unknown,Unknown,Unknown,Fellowship program
Krueger AI Safety Lab,No - Montreal (at MILA),Unknown,Unknown,Yes,Good - goal misgeneralisation,David Krueger's lab at U Montreal
Law Zero,Unknown,Unknown,Unknown,Unknown,Unknown,Could not find
Leap Lab,Unknown,Unknown,Unknown,Unknown,Unknown,Could not find
MIT Algorithmic Alignment Group,No - MIT Cambridge MA,Unknown,Unknown,Yes,Good,Dylan Hadfield-Menell's group
NYU Alignment Research Group,No - New York,Unknown,Unknown,Yes,Good,Academic
Ought,No - merged into Elicit,N/A,N/A,N/A,N/A,Now Elicit
Simplex,Unknown,Unknown,Unknown,Unknown,Unknown,Could not find
